HomeTeam,AwayTeam,Day_Eve,Day Type,Hol Type,Capacity,Average Travelling Fans,Cheapest Season T,Home League Position,Away League Position,Form Home,Form Away,Distance,Temperature,Lowest Home Ticket Price,Lowest Away Ticket Price,Attendance,Highest Home Ticket Price
0.978723404,0.063829787,1,1,0,0.426525634,0.509210116,0.085592011,0.416666667,0.333333333,0.166666667,0.222222222,0.25566343,0.794642857,0.555555556,0.2,0.184049688,0.296296296
1,0.468085106,1,1,0,0.546788914,0.366531377,0.559201141,0.291666667,0.583333333,0.222222222,0.166666667,0.462783172,0.819196429,0.722222222,0,0.358852244,0.296296296
0.042553191,0.744680851,1,1,0,0.381860622,0.295972526,0.345221113,0.541666667,0.041666667,0.166666667,0.333333333,0.482200647,0.792410714,0.722222222,0.72,0.192602294,0.592592593
0.276595745,0.085106383,1,1,0,0.486814989,0.285669685,0.427960057,0.75,1,0.055555556,0,0.504854369,0.823660714,0.333333333,0.48,0.240782633,0.444444444
0.553191489,0.765957447,1,1,0,1,0.235716516,0.796005706,0.916666667,0.625,0,0.166666667,0.792880259,0.796875,0.666666667,0.4,0.918799857,0.555555556
0.063829787,1,0,0,0,0.529208899,0.382453949,0.231098431,0.416666667,0.375,0.277777778,0.277777778,0.042071197,0.772321429,0.166666667,0.8,0.330634599,0.666666667
0.085106383,0.234042553,0,0,0,0.557618707,0.119887605,0.370898716,1,0.75,0,0.166666667,0.226537217,0.752232143,0.333333333,0.4,0.167658848,0.481481481
0.191489362,0.553191489,0,0,0,0.350065189,0.914767406,0.427960057,0.333333333,0.708333333,0.333333333,0.166666667,0.796116505,0.756696429,0.722222222,0.56,0.408878041,0.703703704
0.361702128,0.021276596,0,0,0,0.604512764,1,0.485021398,0.666666667,0.5,0.222222222,0.222222222,0.103559871,0.774553571,0.311111111,0.6,0.581378736,0.407407407
0.404255319,0.276595745,0,0,0,0.438448921,0.176397128,0.29957204,0.166666667,0.583333333,0.388888889,0.222222222,0.40776699,0.814732143,0.722222222,0.48,0.267769973,0.851851852
0.446808511,0.042553191,0,0,0,0.413214451,0.301904465,0.085592011,0.125,0.291666667,0.388888889,0.333333333,0.038834951,0.745535714,0.166666667,0.52,0.359050681,0.296296296
0.617021277,0.978723404,0,0,0,0.541531732,0.335310646,0.62767475,0.791666667,0.458333333,0.166666667,0.222222222,0.239482201,0.796875,0.333333333,0.4,0.314382665,0.481481481
0.744680851,0.723404255,0,0,0,0.285759347,0.383078364,0.716119829,0.208333333,0.958333333,0.333333333,0,0.601941748,0.801339286,0.944444444,0.56,0.226217407,0.592592593
0.765957447,0.170212766,0,0,0,0.406085713,0.437402435,0.5021398,0.833333333,0.041666667,0.166666667,0.388888889,0.171521036,0.816964286,0.444444444,0.6,0.295154185,0.481481481
0.808510638,0.14893617,0,0,0,0.150796989,0.266000624,0.587731812,0.916666667,0.25,0.055555556,0.333333333,0.449838188,0.803571429,0.722222222,0.4,0.128189864,0.185185185
0.872340426,0.489361702,0,0,0,0.733523994,0.817670933,0.758915835,0.625,0.875,0.222222222,0.055555556,0.077669903,0.767857143,0.444444444,1,0.539111799,1
0.468085106,0.595744681,0,0,0,0.535412373,0.4530128,0.764621969,0.541666667,0.083333333,0.222222222,0.388888889,0.122977346,0.825892857,1,0.4,0.425507005,0.666666667
0.234042553,0.361702128,1,1,0,0.043361231,0.601623478,0.302425107,0.75,0.666666667,0.222222222,0.277777778,0.025889968,0.801339286,0.444444444,0.304,0.096023336,0.074074074
0.042553191,0.808510638,0,0,0,0.381860622,0.254761161,0.345221113,0.375,0.916666667,0.333333333,0.222222222,0.025889968,0.732142857,0.722222222,0.52,0.265428424,0.592592593
