,Date,HomeTeam,AwayTeam,Day_Eve,Day Type,Hol Type,Capacity,Average Travelling Fans,Cheapest Season T,Home League Position,Away League Position,Form Home,Form Away,Distance,Temperature,Lowest Home Ticket Price,Lowest Away Ticket Price,Attendance,Highest Home Ticket Price
0,05/08/2016,Fulham,Newcastle,E,1.0,0.0,0.4384489212263953,0.9147674055572901,0.2995720399429387,0.0,0.0,0.0,0.0,0.7993527508090615,0.8482142857142858,0.7222222222222222,0.56,0.4368575624082232,0.8518518518518519
1,06/08/2016,Birmingham,Cardiff,D,0.0,0.0,0.529208899356521,0.176397127692788,0.23109843081312412,0.0,0.0,0.0,0.0,0.2815533980582524,0.8169642857142858,0.16666666666666666,0.48,0.3557169504306068,0.6666666666666666
2,06/08/2016,Blackburn,Norwich City,D,0.0,0.0,0.5576187071539723,0.4530128004995317,0.37089871611982883,0.0,0.0,0.0,0.0,0.5598705501618123,0.7968750000000001,0.3333333333333333,0.4,0.2130015478033099,0.48148148148148145
3,06/08/2016,Bristol City,Wigan Athletic,D,0.0,0.0,0.3500651890482399,0.3353106462691227,0.42796005706134094,0.0,0.0,0.0,0.0,0.4627831715210356,0.8236607142857144,0.7222222222222222,0.4,0.312100646902409,0.7037037037037037
4,06/08/2016,Derby,Brighton & Hove Albion,D,0.0,0.0,0.6045127644362199,0.4374024352169841,0.48502139800285304,0.0,0.0,0.0,0.0,0.4919093851132686,0.8281250000000001,0.31111111111111117,0.6,0.5326427749335239,0.4074074074074074
5,06/08/2016,Huddersfield,Brentford,D,0.0,0.0,0.413214450939984,0.2660006244146113,0.08559201141226819,0.0,0.4166666666666667,0.0,0.0,0.517799352750809,0.8191964285714287,0.16666666666666666,0.4,0.32884867246100724,0.2962962962962963
6,06/08/2016,Ipswich,Barnsley,D,0.0,0.0,0.5354123733019305,0.3019044645644708,0.7646219686162625,0.0,0.0,0.0,0.0,0.48220064724919093,0.8236607142857144,1.0,0.52,0.306842084375124,0.6666666666666666
7,06/08/2016,Nottm Forest,Burton Albion,D,0.0,0.0,0.5415317323463852,0.11988760536996566,0.6276747503566333,0.0,0.0,0.0,0.0,0.06472491909385113,0.8705357142857143,0.3333333333333333,0.4,0.41879985712584833,0.48148148148148145
8,06/08/2016,Reading,Preston,D,0.0,0.0,0.4060857130840728,0.38307836403371837,0.5021398002853067,0.0,0.0,0.0,0.0,0.56957928802589,0.8549107142857143,0.4444444444444444,0.56,0.2749732110965591,0.48148148148148145
9,06/08/2016,Rotherham,Wolves,D,0.0,0.0,0.1507969886865458,0.3824539494224165,0.5877318116975749,0.0,0.0,0.0,0.0,0.21035598705501618,0.8794642857142859,0.7222222222222222,0.8,0.1862126443624241,0.18518518518518517
10,07/08/2016,QPR,Leeds United,D,0.0,0.0,0.2857593472683686,0.8176709334998439,0.7161198288159771,0.75,0.2916666666666667,0.0,0.0,0.5339805825242718,0.8839285714285715,0.9444444444444444,1.0,0.2948168432749931,0.5925925925925926
11,07/08/2016,Sheffield Wednesday,Aston Villa,D,0.0,0.0,0.7335239937754974,1.0,0.7589158345221113,0.16666666666666666,0.0,0.0,0.0,0.20064724919093851,0.8281250000000001,0.4444444444444444,0.6,0.5586577767194507,1.0
12,12/08/2016,Brighton & Hove Albion,Nottm Forest,E,1.0,0.0,0.5446439836817092,0.4280362160474555,0.9300998573466477,0.625,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.48220064724919093,0.8258928571428572,0.7222222222222222,0.32,0.47309203476604356,0.7407407407407407
13,13/08/2016,Aston Villa,Rotherham,D,0.0,0.0,0.7977877781048913,0.254761161411177,0.5021398002853067,0.7916666666666666,0.4583333333333333,0.0,0.05555555555555555,0.21035598705501618,0.8236607142857144,0.4444444444444444,0.52,0.6226733341270786,0.5555555555555556
14,13/08/2016,Barnsley,Derby,D,0.0,0.0,0.38186062160911804,0.601623477989385,0.34522111269614836,0.9166666666666666,0.5,0.0,0.05555555555555555,0.13592233009708737,0.7946428571428572,0.7222222222222222,0.30400000000000005,0.26078501408897886,0.5925925925925926
15,13/08/2016,Brentford,Ipswich,D,0.0,0.0,0.15666400302813643,0.36653137683421794,0.6276747503566333,0.75,0.125,0.0,0.16666666666666666,0.2297734627831715,0.9017857142857145,0.4444444444444444,0.0,0.1623605984839465,0.48148148148148145
16,13/08/2016,Burton Albion,Bristol City,D,0.0,0.0,0.043361231442149976,0.31938807368092414,0.3024251069900143,0.6666666666666666,0.20833333333333334,0.0,0.16666666666666666,0.3333333333333333,0.8080357142857144,0.4444444444444444,0.6,0.05302218518077549,0.07407407407407407
17,13/08/2016,Leeds United,Birmingham,D,0.0,0.0,0.6947890818858561,0.5092101155167031,0.7104136947218259,1.0,0.5416666666666666,0.0,0.05555555555555555,0.28802588996763756,0.765625,1.0,0.2,0.505714966067389,0.7407407407407407
18,13/08/2016,Newcastle,Huddersfield,D,0.0,0.0,1.0,0.27630346550109275,0.7960057061340942,0.875,0.25,0.0,0.16666666666666666,0.2912621359223301,0.830357142857143,0.6666666666666666,0.4,0.9955947136563876,0.5555555555555556
19,13/08/2016,Norwich City,Sheffield Wednesday,D,0.0,0.0,0.44547251545611305,0.7215110833593507,1.0,0.041666666666666664,0.375,0.16666666666666666,0.16666666666666666,0.4110032362459547,0.8392857142857144,0.4444444444444444,0.4,0.4827757272691193,0.6666666666666666
