,HomeTeam,AwayTeam,Day_Eve,Day Type,Hol Type,Capacity,Average Travelling Fans,Cheapest Season T,Home League Position,Away League Position,Form Home,Form Away,Distance,Temperature,Lowest Home Ticket Price,Lowest Away Ticket Price,Attendance,Highest Home Ticket Price,Date
0,0.40425531914893614,0.5531914893617021,1.0,1.0,0.0,0.4384489212263952,0.9147674055572901,0.2995720399429387,0.0,0.0,0.0,0.0,0.7993527508090615,0.8482142857142858,0.7222222222222222,0.5599999999999999,0.43685756240822315,0.8518518518518517,05/08/2016
1,0.06382978723404255,0.2765957446808511,0.0,0.0,0.0,0.529208899356521,0.17639712769278804,0.2310984308131241,0.0,0.0,0.0,0.0,0.28155339805825247,0.8169642857142858,0.16666666666666663,0.48,0.3557169504306068,0.6666666666666666,06/08/2016
2,0.0851063829787234,0.5957446808510638,0.0,0.0,0.0,0.5576187071539723,0.4530128004995317,0.37089871611982883,0.0,0.0,0.0,0.0,0.5598705501618123,0.796875,0.33333333333333337,0.4,0.2130015478033099,0.4814814814814815,06/08/2016
3,0.19148936170212766,0.9787234042553191,0.0,0.0,0.0,0.35006518904823986,0.3353106462691227,0.427960057061341,0.0,0.0,0.0,0.0,0.46278317152103565,0.8236607142857144,0.7222222222222222,0.4,0.312100646902409,0.7037037037037036,06/08/2016
4,0.36170212765957444,0.1702127659574468,0.0,0.0,0.0,0.6045127644362198,0.43740243521698413,0.48502139800285315,0.0,0.0,0.0,0.0,0.49190938511326865,0.828125,0.3111111111111112,0.6,0.5326427749335239,0.40740740740740733,06/08/2016
5,0.44680851063829785,0.14893617021276595,0.0,0.0,0.0,0.413214450939984,0.2660006244146113,0.08559201141226824,0.0,0.41666666666666663,0.0,0.0,0.517799352750809,0.8191964285714286,0.16666666666666663,0.4,0.32884867246100724,0.2962962962962964,06/08/2016
6,0.46808510638297873,0.0425531914893617,0.0,0.0,0.0,0.5354123733019304,0.30190446456447084,0.7646219686162624,0.0,0.0,0.0,0.0,0.482200647249191,0.8236607142857144,0.9999999999999999,0.52,0.30684208437512406,0.6666666666666666,06/08/2016
7,0.6170212765957447,0.23404255319148937,0.0,0.0,0.0,0.5415317323463852,0.11988760536996568,0.6276747503566334,0.0,0.0,0.0,0.0,0.06472491909385113,0.8705357142857143,0.33333333333333337,0.4,0.41879985712584833,0.4814814814814815,06/08/2016
8,0.7659574468085106,0.7234042553191489,0.0,0.0,0.0,0.4060857130840728,0.3830783640337184,0.5021398002853067,0.0,0.0,0.0,0.0,0.56957928802589,0.8549107142857143,0.44444444444444453,0.5599999999999999,0.27497321109655914,0.4814814814814815,06/08/2016
9,0.8085106382978723,1.0,0.0,0.0,0.0,0.15079698868654579,0.3824539494224165,0.5877318116975748,0.0,0.0,0.0,0.0,0.21035598705501618,0.8794642857142858,0.7222222222222222,0.7999999999999999,0.1862126443624241,0.18518518518518523,06/08/2016
10,0.7446808510638298,0.48936170212765956,0.0,0.0,0.0,0.2857593472683686,0.817670933499844,0.7161198288159772,0.75,0.29166666666666663,0.0,0.0,0.5339805825242718,0.8839285714285715,0.9444444444444443,1.0,0.294816843274993,0.5925925925925927,07/08/2016
11,0.8723404255319148,0.02127659574468085,0.0,0.0,0.0,0.7335239937754973,1.0,0.7589158345221113,0.16666666666666666,0.0,0.0,0.0,0.20064724919093851,0.828125,0.44444444444444453,0.6,0.5586577767194507,0.9999999999999999,07/08/2016
12,0.1702127659574468,0.6170212765957447,1.0,1.0,0.0,0.5446439836817092,0.42803621604745556,0.9300998573466478,0.625,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.482200647249191,0.8258928571428572,0.7222222222222222,0.31999999999999995,0.47309203476604356,0.7407407407407406,12/08/2016
13,0.02127659574468085,0.8085106382978723,0.0,0.0,0.0,0.7977877781048913,0.25476116141117705,0.5021398002853067,0.7916666666666666,0.4583333333333333,0.0,0.05555555555555555,0.21035598705501618,0.8236607142857144,0.44444444444444453,0.52,0.6226733341270786,0.5555555555555555,13/08/2016
14,0.0425531914893617,0.36170212765957444,0.0,0.0,0.0,0.38186062160911804,0.601623477989385,0.3452211126961484,0.9166666666666666,0.5,0.0,0.05555555555555555,0.13592233009708737,0.7946428571428572,0.7222222222222222,0.30400000000000005,0.2607850140889788,0.5925925925925927,13/08/2016
15,0.14893617021276595,0.46808510638297873,0.0,0.0,0.0,0.15666400302813643,0.36653137683421794,0.6276747503566334,0.75,0.125,0.0,0.16666666666666666,0.22977346278317154,0.9017857142857144,0.44444444444444453,0.0,0.1623605984839465,0.4814814814814815,13/08/2016
16,0.23404255319148937,0.19148936170212766,0.0,0.0,0.0,0.04336123144214997,0.31938807368092414,0.30242510699001435,0.6666666666666666,0.20833333333333331,0.0,0.16666666666666666,0.33333333333333337,0.8080357142857143,0.44444444444444453,0.6,0.05302218518077549,0.07407407407407407,13/08/2016
17,0.48936170212765956,0.06382978723404255,0.0,0.0,0.0,0.6947890818858561,0.509210115516703,0.7104136947218259,1.0,0.5416666666666666,0.0,0.05555555555555555,0.28802588996763756,0.765625,0.9999999999999999,0.19999999999999996,0.505714966067389,0.7407407407407406,13/08/2016
18,0.5531914893617021,0.44680851063829785,0.0,0.0,0.0,1.0,0.27630346550109275,0.7960057061340943,0.875,0.25,0.0,0.16666666666666666,0.29126213592233013,0.8303571428571428,0.6666666666666666,0.4,0.9955947136563877,0.5555555555555555,13/08/2016
19,0.5957446808510638,0.8723404255319148,0.0,0.0,0.0,0.445472515456113,0.7215110833593505,1.0,0.041666666666666664,0.375,0.16666666666666666,0.16666666666666666,0.41100323624595475,0.8392857142857144,0.44444444444444453,0.4,0.4827757272691193,0.6666666666666666,13/08/2016
20,0.7234042553191489,0.40425531914893614,0.0,0.0,0.0,0.413214450939984,0.24102403996253513,0.6019971469329529,0.8333333333333333,0.29166666666666663,0.0,0.16666666666666666,0.6084142394822006,0.7767857142857143,0.6666666666666666,0.4,0.17664801365241894,0.2962962962962964,13/08/2016
21,0.9787234042553191,0.0851063829787234,0.0,0.0,0.0,0.4265256340160659,0.2856696846706213,0.08559201141226824,0.7083333333333333,0.9583333333333333,0.0,0.0,0.042071197411003236,0.7700892857142858,0.5555555555555555,0.48,0.20456800412747547,0.2962962962962964,13/08/2016
